Record Type,Sr No,Name of Security,Typ,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2282,TRACXN,EQ,600628,295875,49.26
20,2283,TRANSTEEL,SM,92000,72000,78.26
20,2284,TRANSWIND,SM,12000,12000,100
20,2285,TREEHOUSE,EQ,41050,24873,60.59
20,2286,TREJHARA,EQ,83889,56391,67.22
20,2287,TREL,EQ,865343,461017,53.28
20,2288,TRENT,EQ,625160,281417,45.02
20,2289,TRF,EQ,93241,56226,60.3
20,2290,TRIDENT,EQ,5822225,2591237,44.51
20,2291,TRIDHYA,SM,24000,21000,87.5
20,2292,TRITURBINE,EQ,623489,345653,55.44
20,2293,TRIVENI,EQ,1640078,302032,18.42
20,2294,TROM,SM,94800,67200,70.89
20,2295,TRU,EQ,2570875,929927,36.17
20,2296,TRUST,ST,369600,352800,95.45
20,2297,TTKHLTCARE,EQ,8794,4315,49.07
20,2298,TTKPRESTIG,EQ,49376,32174,65.16
20,2299,TTL,EQ,21279,12043,56.6
20,2300,TTML,EQ,6740002,1847768,27.41
20,2301,TUNWAL,SM,320000,224000,70
20,2302,TV18BRDCST,EQ,10718416,4583458,42.76
20,2303,TVSELECT,EQ,2862011,537418,18.78
20,2304,TVSHLTD,EQ,7382,3684,49.91
20,2305,TVSMOTOR,EQ,2526589,780677,30.9
20,2306,TVSSCS,EQ,1757023,673678,38.34
20,2307,TVSSRICHAK,EQ,8991,4082,45.4
20,2308,TVTODAY,EQ,202336,103416,51.11
20,2309,UBL,EQ,276279,152721,55.28
20,2310,UCAL,EQ,22459,8230,36.64
20,2311,UCL,SM,2000,2000,100
20,2312,UCOBANK,EQ,3105359,1488233,47.92
20,2313,UDAICEMENT,EQ,1506439,737186,48.94
20,2314,UDS,EQ,880943,406986,46.2
20,2315,UFLEX,EQ,2498319,577071,23.1
20,2316,UFO,EQ,145043,75452,52.02
20,2317,UGARSUGAR,EQ,457531,224121,48.98
20,2318,UGROCAP,EQ,540593,470388,87.01
20,2319,UJJIVANSFB,EQ,13775061,6713402,48.74
20,2320,ULTRACEMCO,EQ,258730,122900,47.5
20,2321,UMA,SM,28000,24000,85.71
20,2322,UMAEXPORTS,EQ,142307,71140,49.99
20,2323,UNICHEMLAB,EQ,25146,14969,59.53
20,2324,UNIDT,EQ,90395,40761,45.09
20,2325,UNIECOM,EQ,3797794,906498,23.87
20,2326,UNIENTER,EQ,10209,5777,56.59
20,2327,UNIHEALTH,SM,59000,55000,93.22
